timestamp,player,ip,status
2026-07-16T01:29:09,Nischhelm,95.90.240.11,login
2026-07-16T08:25:19,Nischhelm,95.90.240.11,login
2026-07-16T23:57:00,Nischhelm,95.90.240.11,login
2026-07-17T01:07:16,MineScanf5e924,127.0.0.1,bot
2026-07-17T01:15:15,TestUser,unknown,leave
2026-07-17T01:25:44,CrackedProbe,176.65.148.132,bot
2026-07-17T03:50:06,CrackedProbe,176.65.148.132,bot
2026-07-17T05:05:02,CrackedProbe,176.65.148.132,bot
2026-07-17T06:10:00,CrackedProbe,176.65.148.132,bot
2026-07-17T07:07:08,MineScan87d219,176.65.148.171,bot
